,sentence_id_pmcid,augmented_set,augmented_set_preceding,augmented_set_trailing,section,section.1,CONSORT_Item
0,PMC4770816S58,follow up ceased if the participant had a major throw cardiovascular event,in both arms of the trial the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target,the primary outcome was change in systolic blood imperativeness between baseline and one year,['Procedures'],Methods,['7b']
1,PMC4770816S58,follow up ceased the had a major cardiovascular event,in both arms the trial the general practitioners had access to a computer based algorithm that actively drugs and dosage if the participant was above target,the primary outcome was modify in systolic blood pressure between baseline and one year,['Procedures'],Methods,['7b']
2,PMC4770816S58,a up ceased if the participant had follow major cardiovascular event,in both arms of the trial the general practitioners had access to a computer based algorithm hoosier state that actively suggested drugs and dosage if electronic computer the participant was above target,baseline primary outcome was change in systolic blood pressure between the and one year,['Procedures'],Methods,['7b']
3,PMC4770816S58,follow up ceased if the participant had a major cardiovascular issue,in both arms of the trial the general practician had access to a computer based algorithm that actively paint a picture drugs and dosage if the participant was above target,primary outcome was change in systolic blood pressure between baseline and one year,['Procedures'],Methods,['7b']
4,PMC4770816S58,follow up ceased if the participant observe had a major cardiovascular event,in both arms of the trial the to practitioners had access actively a computer based algorithm that general suggested drugs and dosage if the participant was above target,in primary outcome was change the systolic blood pressure between baseline and one year,['Procedures'],Methods,['7b']
5,PMC4770816S58,follow up ceased the if participant had a major cardiovascular event,in both arms of the trial the dosage practitioners had access to a computer participant algorithm that actively suggested drugs and general if the based was above target,the primary outcome was change systolic blood pressure between baseline and one year,['Procedures'],Methods,['7b']
6,PMC4770816S58,follow up ceased if the participant had a major cardiovascular event ,in both arms of the trial the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target ,the primary outcome was change in systolic blood pressure between baseline and one year ,['Procedures'],Methods,['7b']
7,PMC4770816S75,subgroup psychoanalyse were pre specified for diabetes mellitus atrial fibrillation and age group,we also explored the potential imputation of missing effects by the use of three approaches multiple values group mean and last available value,in hectogram addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg,['Statistical analysis'],Methods,['12b']
8,PMC4770816S75,subgroup analyses were pre specified for diabetes age atrial fibrillation and mellitus group,border on we also explored the potential effects miss of missing values by the use of three approaches multiple imputation group mean and last available value,in addition we did a by analysis subgroup baseline systolic blood pressure mm hg mm hg,['Statistical analysis'],Methods,['12b']
9,PMC4770816S75,subgroup analyses were pre specified diabetes for mellitus atrial fibrillation and age group,we also explored the potential effects missing values by the use of three group mean and last available value,hectogram in addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg,['Statistical analysis'],Methods,['12b']
10,PMC4770816S75,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and age canvas group,we also explored time value the mean value potential effects of missing values by the use of three approaches multiple imputation group mean and last available value,in addition we did a subgroup analysis by baseline systolic blood pressure hg mm hg,['Statistical analysis'],Methods,['12b']
11,PMC4770816S75,were pre specified for diabetes mellitus atrial fibrillation and age group,we also explored the potential effects of missing values by the use of three approaches multiple imputation group and last available value,in addition we did a subgroup analysis by baseline systolic blood pressure millimetre hg millimetre hg,['Statistical analysis'],Methods,['12b']
12,PMC4770816S75,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and years group,we also explored the potential effects of overleap values by the use of three approaches multiple imputation group mean and final available value,in addition we did a subgroup analysis by baseline systolic blood atmospheric pressure mm hg mm hg,['Statistical analysis'],Methods,['12b']
13,PMC4770816S75,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and age group ,we also explored the potential effects of missing values by the use of three approaches multiple imputation group mean and last available value ,in addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg ,['Statistical analysis'],Methods,['12b']
14,PMC4770816S76,in we did a subgroup analysis by baseline systolic pressure mm hg mm hg,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and group,we liken the number of consultations treatment changes and slope effects by using generalised mixed modelling adjusting for the same variables as in the primary outcome,['Statistical analysis'],Methods,['12b']
15,PMC4770816S76,in addition we did a subgroup analysis by baseline systolic blood pressure millimetre hg millimetre hg,subgroup analyses group pre specified for diabetes mellitus atrial fibrillation and age were,we compared the number of consultations adjusting changes the side effects by using generalised mixed modelling treatment for the same variables as in and primary outcome,['Statistical analysis'],Methods,['12b']
16,PMC4770816S76,in addition we did a subgroup analysis by baseline systolic blood pressure mm hg indiana mm hg,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and age group,compared the number of consultations treatment changes and side effects by using generalised mixed modelling for same variables as in the primary outcome,['Statistical analysis'],Methods,['12b']
17,PMC4770816S76,in addition we did analysis by baseline systolic blood pressure mm hg mm hg,subgroup analyses were pre specified diabetes for mellitus atrial fibrillation and age group,we compared the number of treatment changes and side effects by using generalised mixed modelling for the same variables as in the,['Statistical analysis'],Methods,['12b']
18,PMC4770816S76,in addition we did a subgroup analysis by baseline systolic blood atmospheric pressure mm hg mm hg,subgroup analyses were pre specified for diabetes mellitus atrial grouping fibrillation and age group,we compared the number of consultations treatment changes and side effects by position event using generalised mixed modelling adjusting for the same variables as in the primary outcome,['Statistical analysis'],Methods,['12b']
19,PMC4770816S76,in addition we subgroup a did analysis by baseline systolic blood pressure mm hg mm hg,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and geezerhood group,we compared the and of consultations outcome changes number side effects by using generalised mixed modelling adjusting for the same variables as in the primary treatment,['Statistical analysis'],Methods,['12b']
20,PMC4770816S76,in addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg ,subgroup analyses were pre specified for diabetes mellitus atrial fibrillation and age group ,we compared the number of consultations treatment changes and side effects by using generalised mixed modelling adjusting for the same variables as in the primary outcome ,['Statistical analysis'],Methods,['12b']
21,PMC4770816S77,we compared the total of consultations treatment changes and side effects by using generalised mixed simulate adjusting for the same variables as in the primary outcome,hoosier state in addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg,for clinical events calculated hazard ratios and their confidence intervals by using proportional hazards adjusting for the same covariates mentioned previously,['Statistical analysis'],Methods,['12b']
22,PMC4770816S77,we compared the number of consultations treatment changes and side effects by using generalised mixed discourse modelling adjusting for the same bit variables as in the primary outcome,in gain we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg,for cox events intervals calculated hazard ratios and their confidence we by using clinical proportional hazards modelling adjusting for the same covariates mentioned previously,['Statistical analysis'],Methods,['12b']
23,PMC4770816S77,we compared the number of consultations treatment changes and by using generalised mixed modelling adjusting for the same as in the primary outcome,in addition hg did a subgroup analysis by baseline systolic blood pressure mm we mm hg,for clinical using we intervals hazard ratios and their confidence calculated by events cox proportional hazards modelling adjusting for the same covariates mentioned previously,['Statistical analysis'],Methods,['12b']
24,PMC4770816S77,effects compared the number of consultations treatment changes and side we by same generalised mixed modelling adjusting for the using variables as in the primary outcome,in addition we did a subgroup depth psychology by baseline systolic blood pressure mm hg mm hg,for clinical events we take a chance calculated hazard ratios and their confidence intervals by using cox proportional hazards conform modelling adjusting for the same covariates mentioned previously,['Statistical analysis'],Methods,['12b']
25,PMC4770816S77,we compared the number of consultations treatment changes and side effects by using variable quantity generalised mixed modelling adjusting for discourse the same variables as in the primary outcome,in addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg,for clinical events we calculated hazard ratios and their confidence intervals by utilize cox proportional hazards modelling adjusting for the same covariates remark previously,['Statistical analysis'],Methods,['12b']
26,PMC4770816S77,we the number of consultations treatment changes and side effects by using generalised mixed modelling adjusting for same variables as in the primary outcome,in addition we did a subgroup analysis by baseline plus systolic blood pressure mm hg mm hg,for clinical events we calculated hazard ratios trust and their confidence intervals by using cox proportional hazards modelling adjusting for the same antecedently covariates mentioned previously,['Statistical analysis'],Methods,['12b']
27,PMC4770816S77,we compared the number of consultations treatment changes and side effects by using generalised mixed modelling adjusting for the same variables as in the primary outcome ,in addition we did a subgroup analysis by baseline systolic blood pressure mm hg mm hg ,for clinical events we calculated hazard ratios and their confidence intervals by using cox proportional hazards modelling adjusting for the same covariates mentioned previously ,['Statistical analysis'],Methods,['12b']
28,PMC4770816S78,for clinical events we hazard ratios and their confidence intervals by using cox proportional hazards modelling adjusting for the same covariates mentioned,we compared the number of consultations treatment changes and position effects by expend generalised mixed modelling adjusting for the same variables as in the primary outcome,we checked the proportional hazard assumption with schoenfeld residual plots and by admit interaction terms in the mannequin for each term by time,['Statistical analysis'],Methods,['12b']
29,PMC4770816S78,for clinical events we calculated hazard ratios and their confidence intervals covariates using cox proportional mentioned modelling adjusting for the same by hazards previously,we compared the add up of consultations treatment convert and side effects by using generalised mixed modelling adjusting for the same variables as in the primary outcome,we checked include the proportional hazard assumption with schoenfeld residual plots and by including interaction terms in the model for each term by let in time,['Statistical analysis'],Methods,['12b']
30,PMC4770816S78,for events hazard ratios and their confidence intervals by using proportional hazards modelling adjusting for the same covariates mentioned previously,we compared effects number of consultations treatment changes and side the by using generalised mixed modelling adjusting for the same variables as in the outcome primary,we checked the proportional hazard assumption with schoenfeld residual plots and by including interaction terms in the model for each term by time,['Statistical analysis'],Methods,['12b']
31,PMC4770816S78,for clinical consequence events we calculated hazard ratios and their confidence intervals by time interval using cox proportional hazards modelling adjusting for the same covariates mentioned previously,variable we compared the number of consultations treatment changes and side primary feather effects by using generalised mixed modelling adjusting for the same variables as in the primary outcome,we checked the proportional assumption with schoenfeld residual plots and by including interaction in the model for each term time,['Statistical analysis'],Methods,['12b']
32,PMC4770816S78,for clinical events we calculated hazard ratios and their confidence intervals by utilise cox proportional peril modelling adjusting for the same covariates mentioned previously,we compared the number of consultations treatment changes and side effects by using generalised mixed modelling adjusting for the same variables as in the outcome,we checked the proportional in assumption with schoenfeld residual by and plots including interaction terms hazard the model for each term by time,['Statistical analysis'],Methods,['12b']
33,PMC4770816S78,for clinical events we calculated hazard their and ratios confidence intervals by using cox proportional hazards modelling the for adjusting same covariates mentioned previously,we compared the number of consultations treatment changes side effects by using generalised mixed adjusting for the same variables as in the outcome,we checked the proportional chance assumption with schoenfeld residual plots and by including interaction terms in the mould for each term by time,['Statistical analysis'],Methods,['12b']
34,PMC4770816S78,for clinical events we calculated hazard ratios and their confidence intervals by using cox proportional hazards modelling adjusting for the same covariates mentioned previously ,we compared the number of consultations treatment changes and side effects by using generalised mixed modelling adjusting for the same variables as in the primary outcome ,we checked the proportional hazard assumption with schoenfeld residual plots and by including interaction terms in the model for each term by time ,['Statistical analysis'],Methods,['12b']
35,PMC4770816S79,we checked the proportional hazard assumption with schoenfeld residual plots and by including interaction terms in the model for each term by time,for clinical events we calculated hazard ratios and their confidence intervals by using cox proportional hazards modelling adjusting proportion for the same covariates mentioned remark previously,for all clinical event analyses we censored patients at the time of the affected role first event relevant to that analysis,['Statistical analysis'],Methods,['12b']
36,PMC4770816S79,we checked the proportional chance hazard assumption with schoenfeld residual plots and by including interaction terms in the model chance for each term by time,for clinical events we calculated hazard ratios and their confidence intervals same modelling cox proportional hazards using adjusting for the by covariates mentioned previously,for all clinical event analyses we censored patients at the time of the first event relevant to that psychoanalysis,['Statistical analysis'],Methods,['12b']
37,PMC4770816S79,we checked the relative hazard assumption with schoenfeld residual plots and by admit interaction terms in the model for each term by time,for previously events we calculated adjusting ratios and their confidence intervals by using cox proportional hazards modelling hazard for the same covariates mentioned clinical,for clinical all event analyses we censored patients at the time of the first event relevant to that analysis,['Statistical analysis'],Methods,['12b']
38,PMC4770816S79,we checked schoenfeld proportional hazard each with the residual plots and by including interaction terms in the model for assumption term by time,for clinical events we calculated hazard ratios and their confidence intervals by using cox proportional hazards modelling adjusting for the same hazard expend covariates mentioned previously,for all clinical event analyses we censored at patients the time of the first event relevant to that analysis,['Statistical analysis'],Methods,['12b']
39,PMC4770816S79,we checked the proportional hazard assumption with schoenfeld residual plots and by including interaction terms in the model aside for each term by check out time,for clinical events we calculated take chances ratios and their confidence intervals by practice cox proportional hazards modelling adjusting for the same covariates mentioned previously,for all clinical event analyses we censored patients at the time of first event relevant to that analysis,['Statistical analysis'],Methods,['12b']
