,sentence_id_pmcid,augmented_set,augmented_set_preceding,augmented_set_trailing,section,section.1,CONSORT_Item
0,PMC3623038S76,numerical safety data for all randomised patients were assessed in an analysis of variation,furthermore the covariance models validity was checked by analysing sit the residuals and the cook distances,the doorway for statistical significance was set to p in all cases,['Statistical analysis'],Patients and methods,['12b']
1,PMC3623038S76,numerical safety data for all randomised patients were assessed in an mathematical analysis of variance,analysing the covariance models validity was checked by furthermore the residuals and the cook distances,the threshold for statistical was to p in all cases,['Statistical analysis'],Patients and methods,['12b']
2,PMC3623038S76,numerical safety data for all patients were assessed in an analysis of variance,furthermore the covariance models validity was checked by analyse the residuals and the cook distances,the threshold for statistical significance was set to p in all cases,['Statistical analysis'],Patients and methods,['12b']
3,PMC3623038S76,numerical safety data for all randomised patients were assessed in an analysis inwards of variance,moreover the covariance models validity was checked by analysing the residuals and the cook distances,inch the threshold for statistical significance was set to p in all cases,['Statistical analysis'],Patients and methods,['12b']
4,PMC3623038S76,numerical safety data for all randomised patients were valuate in an analysis of variance,furthermore the covariance models validity distance was checked by analysing the residuals and the cook distances,the threshold for statistical significance was lay out set to p in all cases,['Statistical analysis'],Patients and methods,['12b']
5,PMC3623038S76,numerical safety data for all randomised patients were assessed in an of analysis variance,residuals the covariance models validity was checked by analysing the furthermore and the cook distances,the threshold for statistical cases was set to p in all significance,['Statistical analysis'],Patients and methods,['12b']
6,PMC3623038S76,numerical safety data for all randomised patients were assessed in an analysis of variance ,furthermore the covariance models validity was checked by analysing the residuals and the cook distances ,the threshold for statistical significance was set to p in all cases ,['Statistical analysis'],Patients and methods,['12b']
7,PMC3623038S112,however memantines potential benefit on other axial motor symptoms and dyskinesia should be confirmed in a tumid patient population,in conclusion the results of our pilot study do not support the implementation of a full effects clinical trial designed to assess memantines gait on scale,supplementary material,['Discussion'],Discussion,['21']
8,PMC3623038S112,however adenine memantines potential benefit on other axial motor symptoms and dyskinesia should be confirmed in a larger patient population,in conclusion the results scale our pilot study do not support the implementation of a full of on trial designed to assess memantines effects clinical gait,auxiliary material,['Discussion'],Discussion,['21']
9,PMC3623038S112,however memantines potential benefit on other axial motor symptoms and dyskinesia should population confirmed in a larger patient be,in conclusion the results of our pilot study do not support test the implementation of a full scale clinical trial designed doh to assess memantines effects on gait,material supplementary,['Discussion'],Discussion,['21']
10,PMC3623038S112,however memantines potential benefit on other axial motor symptoms and dyskinesia should confirmed in a larger patient population,in conclusion the results of our pilot study do support the implementation of a full scale clinical designed to assess effects gait,material supplementary,['Discussion'],Discussion,['21']
11,PMC3623038S112,however memantines potential benefit on other axial motor symptoms population dyskinesia should be confirmed in a larger patient and,in conclusion the final result of our pilot study do not support the implementation of a total scale clinical trial designed to assess memantines effects on gait,subsidiary material,['Discussion'],Discussion,['21']
12,PMC3623038S112,however memantines potential benefit on other axial motor symptoms and dyskinesia should be confirmed in a larger affected role population,in conclusion the results of our pilot study do not support the implementation of a full scale clinical trial designed to assess memantines effects on gait,corporeal supplementary material,['Discussion'],Discussion,['21']
13,PMC3623038S112,however memantines potential benefit on other axial motor symptoms and dyskinesia should be confirmed in a larger patient population ,in conclusion the results of our pilot study do not support the implementation of a full scale clinical trial designed to assess memantines effects on gait ,supplementary material,['Discussion'],Discussion,['21']
14,PMC3551223S155,further confirmation of these study is required including through the data term observation of the patients recruited for this longer as well as additional studies in registries patient sets including the evaluation in daily practice via other,in particular methotrexate with a contraindication or intolerance to patients are likely to be a suitable population,supplementary material,['Discussion'],Discussion,['21']
15,PMC3551223S155,further of data is required including through the longer term observation of the patients recruited for this study as well as additional studies other patient sets including the evaluation in daily practice via registries,particular patients with a contraindication or intolerance methotrexate are likely to be a suitable population,material supplementary,['Discussion'],Discussion,['21']
