,sentence_id_pmcid,augmented_set,augmented_set_preceding_umls,augmented_set_trailing_umls,section,section.1,CONSORT_Item
0,PMC4770816S58,the ceased if cardiovascular participant had Follow-up major a event.,"based practitioners actively of the trial, the general above had access to a computer In algorithm that was suggested drugs and target. if the participant arms both dosage",The and outcome was change primary in blood systolic between baseline pressure one year.,['Procedures'],Methods,['7b']
1,PMC4770816S58,Follow-up ceased if the participant a major event.,"do drugs player In reckoner both arms of the trial, the general practitioner practitioners had access to algorithmic rule a computer based algorithm that get at actively suggested drugs and dosage if do drugs the participant was found above target.",The primary outcome was change in sbp between baseline and one year.,['Procedures'],Methods,['7b']
2,PMC4770816S58,Follow-up give up if the player had a john major cardiovascular event.,"In both Proximal segment of free upper limb of the trial, the general practitioners had access to a computer based Calculated that actively suggested Medication and dosage if the participant was above target.",The primary outcome was change in blood pressure systolic between baseline and one year.,['Procedures'],Methods,['7b']
3,PMC4770816S58,follow up discontinue if the player had a major cardiovascular event.,"In both Brachiums of the trial, the general practitioners had access to a computer based Calculated that actively suggested Medication and dosage if the participant was above target.",The primary outcome was change in systolic blood pressure between baseline one,['Procedures'],Methods,['7b']
4,PMC4770816S58,Follow-up john r major ceased if player the participant had a followup major cardiovascular event.,"in both gird of the trial, the cosmopolitan practitioner had memory access to a computer based algorithm that actively intimate drugs and dose if the player was above target.",The primary outcome was change in Blood pressure systolic between baseline and one year.,['Procedures'],Methods,['7b']
5,PMC4770816S58,Follow-up ceased if the participant had a major cardiovascular event.,"In both Upper Arms of the trial, the general practitioners had access to a computer based Calculated that actively suggested MEDICATION and dosage if the participant was above target.",The elementary consequence was change in systolic blood atmospheric pressure between baseline and  year.,['Procedures'],Methods,['7b']
6,PMC4770816S58,Follow-up ceased if the participant had a major cardiovascular event.,"In both arms of the trial, the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target.",The primary outcome was change in systolic blood pressure between baseline and one year.,['Procedures'],Methods,['7b']
7,PMC4770816S75,"Subgroup analyses were pre-specified for DIABETES MELLITUS NON INSULIN DEPENDENT mellitus, Cardiac Atrium fibrillation, and age group.","We too explored the potential effects of lack values by the use of ternion approaches: multiple imputation, radical mean, and final stage uncommitted value.","by subgroup we did (<140 addition, analysis In baseline systolic blood pressure a Hg). mm ≥140 Hg, mm",['Statistical analysis'],Methods,['12b']
8,PMC4770816S75,"Subgroup analyses were pre-specified for noninsulin dependent diabetes mellitus mellitus, upper chambers of the heart fibrillation, and age group.","We also explored the potential value. by missing use and the values of three approaches: available imputation, effects mean, of last multiple group","answer In addition, we did a subgroup analysis by baseline service line millimeter service line systolic blood pressure (<140 millimeter mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
9,PMC4770816S75,"Subgroup analyses were fibrillation, for and pre-specified atrial mellitus, diabetes age group.","also explored effects of missing values the use of three group mean, and last available","by mm we did a subgroup analysis Hg, baseline systolic (<140 pressure blood addition, mm ≥140 In Hg).",['Statistical analysis'],Methods,['12b']
10,PMC4770816S75,"subgroup depth psychology were pre-specified for diabetes mellitus, atrial fibrillation, and senesce group.","also explored potential of missing by of three approaches: group mean, available value.","In addition, we did a subgroup analysis by baseline blood pressure systolic (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
11,PMC4770816S75,"Subgroup analyses were pre-specified for diabetes mellitus, and age group.","We also explored the potential effects of missing values by the use of three approaches: multiple imputation, group mean, and last available value.",In analysis systolic pressure (<140 mm ≥140 mm Hg).,['Statistical analysis'],Methods,['12b']
12,PMC4770816S75,"Subgroup analyses were personify pre-specified for diabetes subgroup mellitus, atrial be fibrillation, and age group.","We also approaches: values potential effects of missing the by explored use and three the multiple imputation, group mean, of last available value.","In addition, we did a subgroup analysis by baseline Systolic blood pressure measurement (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
13,PMC4770816S75,"Subgroup analyses were pre-specified for diabetes mellitus, atrial fibrillation, and age group.","We also explored the potential effects of missing values by the use of three approaches: multiple imputation, group mean, and last available value.","In addition, we did a subgroup analysis by baseline systolic blood pressure (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
14,PMC4770816S76,"In addition, we did a analysis systolic pressure (<140 mm Hg, ≥140 Hg).","analyses for diabetes atrial fibrillation, and age group.","We compared the number changes, and side effects by mixed modelling, adjusting for the same variables as in outcome.",['Statistical analysis'],Methods,['12b']
15,PMC4770816S76,"amp millimetre In addition, we insistence did millimetre a subgroup analysis by mm baseline systolic blood pressure (<140 mm Hg, ≥140 mm Hg).","Subgroup analyses were pre-specified for mellitus, diabetes atrial and fibrillation, group. age","We compared the event number of consultations, treatment changes, and side effects by using turn generalised variable mixed modelling, face victimization adjusting for the same variables as in the victimization conform primary outcome.",['Statistical analysis'],Methods,['12b']
16,PMC4770816S76,"In addition, we did a subgroup fare analysis by baseline systolic blood psychoanalysis millimetre pressure transportation (<140 mm Hg, ≥140 mm fare Hg).","Subgroup analyses were pre-specified for diabetes type 2 mellitus, Cardiac Atrium fibrillation, and age group.","We compared the number of consultations, therapy changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.",['Statistical analysis'],Methods,['12b']
17,PMC4770816S76,"In addition, we baseline analysis subgroup mm by did systolic a pressure Hg). blood Hg, ≥140 mm (<140","Subgroup analyses were pre-specified for diabetes mellitus, atrial group.","We compared the number of consultations, method treatment changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.",['Statistical analysis'],Methods,['12b']
18,PMC4770816S76,"In addition, we did a subgroup analysis by baseline Systolic blood pressure measurement (<140 mm Hg, ≥140 mm Hg).","Subgroup analyses were pre-specified for ketosis resistant diabetes mellitus, Atrium of heart fibrillation, and age group.","liken We event compared the number of consultations, treatment changes, and away side effects by using face generalised mixed modelling, adjusting for inch the same variables as in the conform compare primary outcome.",['Statistical analysis'],Methods,['12b']
19,PMC4770816S76,"In addition, we did a subgroup analysis by baseline Blood pressure systolic (<140 mm Hg, ≥140 mm Hg).","subgroup break down were pre-specified for diabetes mellitus, atrial fibrillation, and eld group.","We the consultations, treatment changes, effects by mixed modelling, for the as in the primary",['Statistical analysis'],Methods,['12b']
20,PMC4770816S76,"In addition, we did a subgroup analysis by baseline systolic blood pressure (<140 mm Hg, ≥140 mm Hg).","Subgroup analyses were pre-specified for diabetes mellitus, atrial fibrillation, and age group.","We compared the number of consultations, treatment changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.",['Statistical analysis'],Methods,['12b']
21,PMC4770816S77,"We compare the numerate of consultations, treatment changes, and side of meat effects by using generalised amalgamate modelling, aline for the same variable as in the elemental outcome.","In addition, we indiana service line millimetre did a subgroup analysis by baseline systolic blood millimetre pressure (<140 mm Hg, atmospheric pressure ≥140 mm Hg).","For clinical events, we calculated peril ratios and their 95% trust interval by using Cox relative jeopardy modelling, adapt for the same covariates note previously.",['Statistical analysis'],Methods,['12b']
22,PMC4770816S77,"We compared the number treatment and effects by using generalised modelling, adjusting the variables as in the outcome.","In addition, we did a subgroup analysis by baseline blood pressure systolic (<140 mm Hg, ≥140 mm Hg).","the clinical events, we modelling, 95% ratios for their hazard confidence intervals by using adjusting proportional hazards calculated Cox and For same covariates mentioned previously.",['Statistical analysis'],Methods,['12b']
23,PMC4770816S77,"We compared the number of consultations, Therapeutic changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.","In addition, we did a subgroup analysis by systolic blood pressure (<140 mm Hg, ≥140 mm Hg).","For clinical calculated ratios and their 95% confidence by using Cox proportional hazards modelling, for the same covariates mentioned previously.",['Statistical analysis'],Methods,['12b']
24,PMC4770816S77,"We compared the number of consultations, Therapeutic Technique changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.","In addition, we did a subgroup analysis by baseline Systolic blood pressure measurement (<140 mm Hg, ≥140 mm Hg).","For clinical events, we calculated hazard ratios and their 95% self confidence intervals by using cox microbiology subtype proportional hazards modelling, adjusting for the same covariates mentioned previously.",['Statistical analysis'],Methods,['12b']
25,PMC4770816S77,"We compared the number of burden consultations, treatment changes, and handling side effects by using load generalised mixed issue set amp modelling, adjusting for the same variables as in the side of meat primary outcome.","In addition, amp we did a subgroup analysis by baseline systolic blood pressure service line (<140 mm line of descent Hg, ≥140 mm line of descent indiana Hg).","For clinical events, we calculated hazard ratios and their 95% Self Confidence intervals by using cox microbiology subtype proportional hazards modelling, adjusting for the same covariates mentioned previously.",['Statistical analysis'],Methods,['12b']
26,PMC4770816S77,"We compared the number of consultations, method treatment changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.","blood addition, we Hg, a subgroup analysis by baseline Hg). (<140 did In mm pressure ≥140 mm systolic","For clinical bring up events, time interval we calculated hazard victimization ratios and their 95% time interval confidence intervals by using Cox proportional hazards modelling, bring up adjusting for the same self confidence covariates mentioned deliberate previously.",['Statistical analysis'],Methods,['12b']
