,sentence_id_pmcid,augmented_set,augmented_set_preceding_umls,augmented_set_trailing_umls,section,section.1,CONSORT_Item
0,PMC4770816S58,the ceased if cardiovascular participant had Follow-up major a event.,"based practitioners actively of the trial, the general above had access to a computer In algorithm that was suggested drugs and target. if the participant arms both dosage",The primary outcome was change in blood pressure systolic between baseline and one year.,['Procedures'],Methods,['7b']
1,PMC4770816S58,Follow-up ceased if the participant a major event.,"do drugs player In figurer both arms of the trial, the general practician practitioners had access to algorithmic program a computer based algorithm that admittance actively suggested drugs and dosage if do drugs the participant was establish above target.",The primary quill outcome was convert in systolic rip hale between baseline and one year.,['Procedures'],Methods,['7b']
2,PMC4770816S58,followup discontinue if the player had a major cardiovascular event.,"In both Arm between shoulder and elbow of the trial, the general practitioners had access to a computer based Calculated that actively suggested Pharmaceutical Preparations and dosage if the participant was above target.",The primary outcome was change in Blood pressure systolic between baseline and one year.,['Procedures'],Methods,['7b']
3,PMC4770816S58,followup ceased if the player had a john roy major cardiovascular event.,"In both Proximal segment of free upper limb of the trial, the general practitioners had access to a computer based Calculated that actively suggested Medication Name and dosage if the participant was above target.",The primary outcome was change in Systolic blood pressure measurement between baseline and one year.,['Procedures'],Methods,['7b']
4,PMC4770816S58,Follow-up john major ceased if player the participant had a reexamination major cardiovascular event.,"inwards both blazonry of the trial, the general practician had access to a computer based algorithmic rule that actively indicate drug and dose if the player was above target.",The primary primary quill insistency outcome was change in systolic blood pressure between insistency baseline and one insistency year.,['Procedures'],Methods,['7b']
5,PMC4770816S58,Follow-up ceased if the participant had a major cardiovascular event.,"In both upper arm of the trial, the general practitioners had access to a computer based Calculated that actively suggested Pharmaceutic Preparations and dosage if the participant was above target.",year. primary outcome was change in pressure The systolic blood baseline and one between,['Procedures'],Methods,['7b']
6,PMC4770816S58,Follow-up ceased if the participant had a major cardiovascular event.,"In both arms of the trial, the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target.",The primary outcome was change in systolic blood pressure between baseline and one year.,['Procedures'],Methods,['7b']
7,PMC4770816S75,"Subgroup analyses were pre-specified for Adult Onset Diabetes mellitus, Cardiac Atrium fibrillation, and age group.","as well We also explored the potential effects of missing values grouping by group the use of three approaches: multiple imputation, aside group mean, and last prize prize available value.","In addition, we did a subgroup analysis baseline systolic (<140 mm Hg, mm",['Statistical analysis'],Methods,['12b']
8,PMC4770816S75,"Subgroup analyses were pre-specified for Adult Onset Diabetes mellitus, Heart Atria fibrillation, and age group.","We explored the potential of missing by use of three approaches: imputation, group and available","In addition, we did a subgroup analysis by baseline Blood pressure systolic (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
9,PMC4770816S75,"Subgroup analyses were fibrillation, for and pre-specified atrial mellitus, diabetes age group.","We also explored the potential effects of missing values by the use of three approaches: multiple imputation, group mean, and last available value.","In addition, we did a subgroup analysis by baseline sbp (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
10,PMC4770816S75,"subgroup psychoanalyse were pre-specified for diabetes mellitus, atrial fibrillation, and historic period group.","We also use the potential group missing by values of the explored of three approaches: multiple imputation, effects mean, and last available value.","hoosier state addition, we did a subgroup analytic thinking by service line systolic bloodline insistency (<140 mm Hg, ≥140 mm Hg).",['Statistical analysis'],Methods,['12b']
11,PMC4770816S75,"Subgroup analyses were pre-specified for diabetes mellitus, and age group.",We also explored the potential effects of missing values by the use of three approaches: multiple last,"inwards addition, we did a subgroup psychoanalysis by service line systolic blood squeeze (<140 millimetre Hg, ≥140 millimetre Hg).",['Statistical analysis'],Methods,['12b']
12,PMC4770816S75,"Subgroup analyses were map pre-specified for diabetes subgroup mellitus, atrial represent fibrillation, and age group.","We also explore the potential effects of lose time value by the use of leash approaches: multiple imputation, group mean, and stopping point uncommitted value.","by addition, we did a subgroup analysis Hg, baseline systolic (<140 pressure blood Hg). mm ≥140 In mm",['Statistical analysis'],Methods,['12b']
