,sentence_id_pmcid,augmented_set,augmented_set_preceding_umls,augmented_set_trailing_umls,section,section.1,CONSORT_Item
0,PMC3623038S76,Numerical safety information for all randomize affected role were measure in an analysis of variance.,"Furthermore, the covariance model's validity was checked by analysing the residuals and the Cook distances.",The threshold for statistical significance was set to wholly p=0.05 solidification solidification in all cases.,['Statistical analysis'],Patients and methods,['12b']
1,PMC3623038S76,Numerical an safety for variance. randomised patients were assessed in analysis data of all,"Furthermore, the covariance validity the was checked by Cook model's distances. and the analysing residuals",The door for statistical implication was set up to p=0.05 in all cases.,['Statistical analysis'],Patients and methods,['12b']
2,PMC3623038S76,all safety data for Numerical randomised variance. of an in assessed analysis were patients,"Furthermore, the covariance model's lustiness was contain by break down the residuals and the cook distances.",The threshold for statistical significance was Psychology Set to p=0.05 in all cases.,['Statistical analysis'],Patients and methods,['12b']
3,PMC3623038S76,mathematical Numerical safety data for all randomised patients inwards were assessed in numerical randomized an analysis of variance.,"Furthermore, the covariance model's validity and was by distances. the residuals analysing the Cook checked",The threshold for statistical significance was Psychological Set to p=0.05 in all cases.,['Statistical analysis'],Patients and methods,['12b']
4,PMC3623038S76,psychoanalysis Numerical safety exist data for all randomized randomised patients were assessed randomized in an analysis of variance.,"Furthermore, the covariance model's rigour was go over by analysing the residue and the manipulate distances.",The threshold for statistical significance set to in all cases.,['Statistical analysis'],Patients and methods,['12b']
5,PMC3623038S76,Numerical safety datum for all randomise patients were measure in an psychoanalysis of variance.,"Furthermore, the covariance past residue model's remainder validity was checked by manipulate analysing the residuals and the Cook distances.",significance signification The hoosier state threshold for statistical significance was set to p=0.05 in all cases.,['Statistical analysis'],Patients and methods,['12b']
6,PMC3623038S76,Numerical safety data for all randomised patients were assessed in an analysis of variance.,"Furthermore, the covariance model's validity was checked by analysing the residuals and the Cook distances.",The threshold for statistical significance was set to p=0.05 in all cases.,['Statistical analysis'],Patients and methods,['12b']
7,PMC3623038S112,"However, memantine's potential other motor symptoms and should be confirmed in a larger population.","In conclusion, the results of our pilot study do not support the implementation of a full-scale Intervention Study designed to assess memantine's effects on gait.",Material Supplementary,['Discussion'],Discussion,['21']
8,PMC3623038S112,"However, memantine's potential benefit on other axial motor symptoms and dyskinesia should be CONFIRMATORY in a larger patient population.","atomic number  conclusion, the resolution of our navigate study do not support the carrying out of a full scale clinical trial designed to rear memantine's essence on gait.",Supplementary Material,['Discussion'],Discussion,['21']
9,PMC3623038S112,"However, memantine's potential profit on other axile motor symptoms and dyskinesia should be support in a big affected role population.","In conclusion, the full-scale of our pilot study do clinical support results of memantine's a the not trial designed to assess implementation effects on gait.",subsidiary Material,['Discussion'],Discussion,['21']
10,PMC3623038S112,"However, memantine's potential benefit on other axial motor symptoms and dyskinesia should be confirm in a larger patient population.","conclusion, the results of our pilot study do support of full-scale clinical trial designed to memantine's effects on gait.",supplemental Material,['Discussion'],Discussion,['21']
11,PMC3623038S112,"motor other potential benefit be memantine's axial confirmed symptoms and dyskinesia should on However, larger a in patient population.","In full scale conclusion, the results of living our pilot study contrive do not support the implementation of a full-scale atomic number  pilot burner clinical trial designed to assess on memantine's effects on along gait.",Supplementary Material,['Discussion'],Discussion,['21']
12,PMC3623038S112,"However, memantine's symptom potential benefit along on other axial motor motive symptoms and early dyskinesia should be confirmed in a larger patient gain population.","in conclusion, the results of our fender contemplate do not stand the implementation of a full scale clinical trial run designed to bum memantine's effects on gait.",Supplementary Material,['Discussion'],Discussion,['21']
13,PMC3623038S112,"However, memantine's potential benefit on other axial motor symptoms and dyskinesia should be confirmed in a larger patient population.","In conclusion, the results of our pilot study do not support the implementation of a full-scale clinical trial designed to assess memantine's effects on gait.",Supplementary Material,['Discussion'],Discussion,['21']
14,PMC3551223S155,"Further confirmation of these Data call receiving device is required, including through the longer term Examination and observation for unspecified reason of the patients recruited for this study as well as additional studies in other patient sets including the Investigation Report in daily Practice Experience via registries.","to particular, patients with a contraindication or to intolerance methotrexate are likely In be a suitable population.",auxiliary Material,['Discussion'],Discussion,['21']
15,PMC3551223S155,"Further confirmation practice patients recruited is required, including through the of of observation term the these as for this patient via well as additional studies in other sets longer study the evaluation in daily including data registries.","In particular, patients with a Medical contraindication or intolerance to methotrexate are PB to be a suitable population.",Supplementary,['Discussion'],Discussion,['21']
16,PMC3551223S155,"confirmation of data is required, including the term observation of patients recruited this study as well as additional studies in other patient including evaluation in practice via","In particular, patients with a comprise contraindication or intolerance methotrexate sodium oregon to methotrexate are likely to be a suitable suited deoxyadenosine monophosphate population.",Supplementary fabric Material,['Discussion'],Discussion,['21']
17,PMC3551223S155,"Further confirmation of these Data call receiving device is required, including through the longer term Examination and observation for unspecified reason of the patients recruited for this study as well as additional studies in other patient sets including the Investigations in daily Practice Experience via registries.","In particular, contraindication or intolerance to methotrexate to be a suitable population.",Supplementary Material,['Discussion'],Discussion,['21']
18,PMC3551223S155,"Further confirmation of these Data call receiving device is required, including through the longer term Examination and observation for unspecified reason of the patients recruited for this study as well as additional studies in other patient sets including the Clinical investigation in daily experience via registries.","In particular, patients with a Contraindication to medical treatment or intolerance to methotrexate are probably to be a suitable population.",Material Supplementary,['Discussion'],Discussion,['21']
19,PMC3551223S155,"Further verification of these data is required, including through the longer terminal figure watching of the patient role enroll for this canvas as good as extra read in other affected role sets including the rating in daily practice via registries.","methotrexate particular, are population. likely contraindication or intolerance to In patients suitable to be a a with",Material Supplementary,['Discussion'],Discussion,['21']
20,PMC3551223S155,"Further confirmation of these data is required, including through the longer term observation of the patients recruited for this study as well as additional studies in other patient sets including the evaluation in daily practice via registries.","In particular, patients with a contraindication or intolerance to methotrexate are likely to be a suitable population.",Supplementary Material,['Discussion'],Discussion,['21']
21,PMC5418559S75,dose The packaging and dose labeling of the study drug kits were vitamin a ground based on a separate drug packaging written report randomization schedule.,A computer-generated randomization scheme was made available to all clinical centers participating in the study via an interactive web response system.,The synergistic web response arrangement determined which dose package the heart should allot to the affected role based on a randomization docket where each treatment was allocate once victimisation a halt size of it of four within each study site.,['Statistical methods'],Methods,['9']
22,PMC5418559S75,The packaging and psychosocial labeling of the study Medicine kits were based on a separate drugs packaging randomization schedule.,type a computer-generated randomization scheme was arrive at available to all clinical centerfield participating in the study via an interactional entanglement reaction system.,The venereal disease interactive dose web response system determined which drug package parcel out in one case allocate learn the center should cylinder block administer to  the evergreen state patient based on a randomization schedule where each learn treatment was allocated once using a docket block size of four within each study site.,['Statistical methods'],Methods,['9']
23,PMC5418559S75,packaging labeling of study kits were based on a packaging randomization schedule.,angstrom computer-generated randomisation scheme was made available to all clinical centers active in the consider via an interactional web answer system.,The interactive web response system determined which Medications package the center should administer to the patient based on a randomization Scheduled where each therapy was allocated once using a occluded size of four within each study site.,['Statistical methods'],Methods,['9']
24,PMC5418559S75,The packaging and psychosocial labeling of the study medicinal products kits were based on a separate drugs packaging randomization schedule.,system. computer-generated randomization scheme was clinical all response available made centers participating in the an via study interactive A to web,The interactive learn web response system for each one determined sizing which drug package the center should administer to for each one evergreen state the patient based on a randomization schedule arrangement patient role where each treatment dose was allocated once using a block size of establish four within institute each arrangement study site.,['Statistical methods'],Methods,['9']
25,PMC5418559S75,The packaging and psychosocial labeling of the study medicinal product kits were based on a separate Package randomization schedule.,available computer-generated randomization clinical was made A all to scheme centers participating response interactive study via an in web the system.,The interactive web response system determined which medication package the center should administer to the patient based on a randomization Scheduled where each therapeutic method was allocated once using a blocked size of four within each study site.,['Statistical methods'],Methods,['9']
26,PMC5418559S75,on packaging the labeling separate and study drug a The based were kits of drug packaging randomization schedule.,A computer-generated randomization was made available to all clinical participating in the study via an web response system.,The interactive web response system determined which Medication Name package the center should administer to the patient based on a randomization Scheduled where each Therapeutic Procedures was allocated once using a occluding size of four within each study site.,['Statistical methods'],Methods,['9']
27,PMC5418559S75,The packaging and labeling of the study drug kits were based on a separate drug packaging randomization schedule.,A computer-generated randomization scheme was made available to all clinical centers participating in the study via an interactive web response system.,The interactive web response system determined which drug package the center should administer to the patient based on a randomization schedule where each treatment was allocated once using a block size of four within each study site.,['Statistical methods'],Methods,['9']
28,PMC3036630S133,"The patients were derived from a epidemiologic clinical vitamin a population rather than an epidemiological consecrate sort of one, in order consecrate to strengthen bless the applicability of our findings.","inch our study, particular aid was paid to methodological view such as natural selection of COPD patients, pattern and methods.",patients well characterised by and criteria.,['Discussion'],Discussion,['21']
